symbol,sector,industry,country,shares_outstanding
FBGL.O,Industrials,Construction & Engineering,Singapore,13500000
FBIN.K,Industrials,Building Products,United States of America,185074502
FBIO.O,Health Care,Biotechnology,United States of America,15093053
FBIZ.O,Financials,Banks,United States of America,9433355
FBK,Financials,Banks,United States of America,46848934
FBLG.O,Health Care,Biotechnology,United States of America,32634366
FBNC.O,Financials,Banks,United States of America,41347418
FBP,Financials,Banks,Puerto Rico,223663116
FC,Industrials,Professional Services,United States of America,27056000
FCAP.O,Financials,Banks,United States of America,3806983
FCBC.O,Financials,Banks,United States of America,27599240
FCF,Financials,Banks,United States of America,123123889
FCFS.O,Financials,Consumer Finance,United States of America,57547000
FCN,Industrials,Professional Services,United States of America,35913000
FCNCA.O,Financials,Banks,United States of America,13717621
FDBC.O,Financials,Banks,United States of America,5736252
FDMT.O,Health Care,Biotechnology,United States of America,43075218
FDS,Financials,Capital Markets,United States of America,42598915
FDSB.O,Financials,Banks,United States of America,5559473
FDUS.O,Financials,Capital Markets,United States of America,30438979
FDX,Industrials,Air Freight & Logistics,United States of America,318000000
FE,Utilities,Electric Utilities,United States of America,574335396
FEAM.O,Materials,Metals & Mining,United States of America,63318000
FEBO.O,Consumer Discretionary,Household Durables,Hong Kong,11000000
FERG.K,Industrials,Trading Companies & Distributors,United States of America,232171182
FET,Energy,Energy Equipment & Services,United States of America,12992570
FF,Energy,"Oil, Gas & Consumable Fuels",United States of America,43763243
FFIC.O,Financials,Banks,United States of America,38678000
FFIN.O,Financials,Banks,United States of America,143874439
FFIV.O,Information Technology,Communications Equipment,United States of America,58094000
FFNW.O,Financials,Banks,United States of America,9230010
FFWM.K,Financials,Banks,United States of America,82365388
FG,Financials,Insurance,United States of America,127952143
FGBI.O,Financials,Banks,United States of America,12475424
FGEN.O,Health Care,Biotechnology,United States of America,98770247
FGI.O,Industrials,Trading Companies & Distributors,United States of America,9547607
FGL.O,Industrials,Construction & Engineering,Malaysia,16918750
FHB.O,Financials,Banks,United States of America,141748847
FHI,Financials,Capital Markets,United States of America,99514456
FHN,Financials,Banks,United States of America,524000000
FHTX.O,Health Care,Biotechnology,United States of America,42282040
FI,Financials,Financial Services,United States of America,784000000
FIBK.O,Financials,Banks,United States of America,104586000
FICO.K,Information Technology,Software,United States of America,88857000
FIGS.K,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United States of America,169741044
FIHL.K,Financials,Insurance,Bermuda,117914754
FINW.O,Financials,Banks,United States of America,13211640
FIP.O,Industrials,Ground Transportation,United States of America,100589572
FIS,Financials,Financial Services,United States of America,633000000
FISI.O,Financials,Banks,United States of America,20700000
FITB.O,Financials,Banks,United States of America,923893000
FIVE.O,Consumer Discretionary,Specialty Retail,United States of America,55197875
FIVN.O,Information Technology,Software,United States of America,75808000
FIX,Industrials,Construction & Engineering,United States of America,41123365
FIZZ.O,Consumer Staples,Beverages,United States of America,101942658
FL,Consumer Discretionary,Specialty Retail,United States of America,94283984
FLEX.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,408101772
FLG,Financials,Banks,United States of America,422406260
FLGC.O,Consumer Staples,Personal Care Products,United States of America,8935000
FLGT.O,Health Care,Health Care Providers & Services,United States of America,32416000
FLIC.O,Financials,Banks,United States of America,22595349
FLL.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,35302549
FLNC.O,Industrials,Electrical Equipment,United States of America,130207845
FLNT.O,Communication Services,Media,United States of America,14319648
FLO,Consumer Staples,Food Products,United States of America,228729585
FLR,Industrials,Construction & Engineering,United States of America,169228759
FLS,Industrials,Machinery,United States of America,176793000
FLUT.K,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,177008649
FLWS.O,Consumer Discretionary,Specialty Retail,United States of America,91140916
FLXS.O,Consumer Discretionary,Household Durables,United States of America,8407000
FLYE.O,Consumer Discretionary,Automobiles,United States of America,24587500
FLYW.O,Financials,Financial Services,United States of America,124883527
FLYX.K,Industrials,Passenger Airlines,United States of America,16647529
FMAO.O,Financials,Banks,United States of America,14564425
